agent1,agent1_payoff,agent2,agent2_payoff,n_plays,prob
PavlovAgent,264,MyAgent,264,96,0.99
WinStayLoseShift,6,AlwaysDefect,14,4,0.75
WinStayLoseShift,7,AlwaysDefect,19,5,0.9
WinStayLoseShift,27,AlwaysDefect,63,18,0.99
WinStayLoseShift,1,RandomAgent,5,1,0.75
WinStayLoseShift,6,RandomAgent,6,2,0.9
WinStayLoseShift,206,RandomAgent,190,72,0.99
WinStayLoseShift,66,AlwaysCoorperate,66,22,0.75
WinStayLoseShift,54,AlwaysCoorperate,54,18,0.9
WinStayLoseShift,123,AlwaysCoorperate,123,41,0.99
WinStayLoseShift,6,TitforTat,6,2,0.75
WinStayLoseShift,48,TitforTat,48,16,0.9
WinStayLoseShift,219,TitforTat,219,73,0.99
WinStayLoseShift,12,TitforTwoTats,12,4,0.75
WinStayLoseShift,18,TitforTwoTats,18,6,0.9
WinStayLoseShift,135,TitforTwoTats,135,45,0.99
WinStayLoseShift,15,PavlovAgent,15,5,0.75
WinStayLoseShift,48,PavlovAgent,48,16,0.9
WinStayLoseShift,129,PavlovAgent,129,43,0.99
WinStayLoseShift,3,WinStayLoseShift,3,1,0.75
WinStayLoseShift,12,WinStayLoseShift,12,4,0.9
WinStayLoseShift,432,WinStayLoseShift,432,144,0.99
WinStayLoseShift,6,NeverForgive,6,2,0.75
WinStayLoseShift,6,NeverForgive,6,2,0.9
WinStayLoseShift,171,NeverForgive,171,57,0.99
WinStayLoseShift,1,MyAgent,5,1,0.75
WinStayLoseShift,17,MyAgent,17,6,0.9
WinStayLoseShift,85,MyAgent,85,31,0.99
NeverForgive,9,AlwaysDefect,13,5,0.75
NeverForgive,5,AlwaysDefect,9,3,0.9
NeverForgive,53,AlwaysDefect,57,27,0.99
NeverForgive,16,RandomAgent,12,5,0.75
NeverForgive,24,RandomAgent,16,8,0.9
NeverForgive,249,RandomAgent,101,68,0.99
NeverForgive,3,AlwaysCoorperate,3,1,0.75
NeverForgive,6,AlwaysCoorperate,6,2,0.9
NeverForgive,363,AlwaysCoorperate,363,121,0.99
NeverForgive,18,TitforTat,18,6,0.75
NeverForgive,18,TitforTat,18,6,0.9
NeverForgive,411,TitforTat,411,137,0.99
NeverForgive,12,TitforTwoTats,12,4,0.75
NeverForgive,39,TitforTwoTats,39,13,0.9
NeverForgive,1002,TitforTwoTats,1002,334,0.99
NeverForgive,3,PavlovAgent,3,1,0.75
NeverForgive,12,PavlovAgent,12,4,0.9
NeverForgive,18,PavlovAgent,18,6,0.99
NeverForgive,21,WinStayLoseShift,21,7,0.75
NeverForgive,30,WinStayLoseShift,30,10,0.9
NeverForgive,306,WinStayLoseShift,306,102,0.99
NeverForgive,33,NeverForgive,33,11,0.75
NeverForgive,42,NeverForgive,42,14,0.9
NeverForgive,210,NeverForgive,210,70,0.99
NeverForgive,62,MyAgent,30,18,0.75
NeverForgive,13,MyAgent,9,4,0.9
NeverForgive,330,MyAgent,146,95,0.99
MyAgent,3,AlwaysDefect,7,2,0.75
MyAgent,2,AlwaysDefect,2,1,0.9
MyAgent,323,AlwaysDefect,751,215,0.99
MyAgent,24,RandomAgent,20,8,0.75
MyAgent,2,RandomAgent,2,1,0.9
MyAgent,181,RandomAgent,177,65,0.99
MyAgent,5,AlwaysCoorperate,1,1,0.75
MyAgent,96,AlwaysCoorperate,48,24,0.9
MyAgent,392,AlwaysCoorperate,196,98,0.99
MyAgent,6,TitforTat,6,2,0.75
